iter	RMSE
0	0.628370033
1	0.6084558434
2	0.5908034579
3	0.5746393758
4	0.5602457586
5	0.5474658895
6	0.5355682003
7	0.5257299837
8	0.5165555446
9	0.5084212045
10	0.5015123415
11	0.4950138203
12	0.489399318
13	0.4838022188
14	0.4793277209
15	0.4752361644
16	0.4713774996
17	0.4683309375
18	0.4656720893
19	0.4632126075
20	0.4608919659
21	0.4589104222
22	0.4570217355
23	0.4552381784
24	0.453903799
25	0.4524901545
26	0.4513103233
27	0.4502735742
28	0.4492335282
29	0.4483012341
30	0.4474847736
31	0.4467989554
32	0.4460221224
33	0.4453920563
34	0.4448459671
35	0.4441738424
36	0.4435710387
37	0.4431202889
38	0.4426992994
39	0.4423439024
40	0.4419198685
41	0.4414791682
42	0.4411091653
43	0.4408215265
44	0.4405013578
45	0.4402464288
46	0.4400197023
47	0.4397901519
48	0.4394595715
49	0.4391913638
50	0.4389383718
51	0.4387480052
52	0.4385059597
53	0.438361685
54	0.4381446624
55	0.4379741777
56	0.4377252814
57	0.4374993344
58	0.4373046495
59	0.4371850563
60	0.4369947188
61	0.4367179619
62	0.4364532211
63	0.4362716142
64	0.4361152012
65	0.4359799861
66	0.4358085712
67	0.4356863479
68	0.4355168378
69	0.4354335979
70	0.4352902479
71	0.4351142486
72	0.4349839553
73	0.4348914606
74	0.4347721876
75	0.4345964287
76	0.4344951795
77	0.4343701676
78	0.4342969402
79	0.4341971752
80	0.4340947835
81	0.4340079933
82	0.4339631398
83	0.4338785269
84	0.4337971582
85	0.4337135201
86	0.4336574615
87	0.4335532496
88	0.4334738623
89	0.4333248193
90	0.4332766375
91	0.433160197
92	0.4330619344
93	0.4329652973
94	0.4329061156
95	0.4328130197
96	0.4327594174
97	0.4326717358
98	0.4326259712
99	0.4325978814
100	0.4325359569
101	0.4324491776
102	0.4323817775
103	0.4322796597
104	0.4321879193
105	0.43209343
106	0.4320396653
107	0.4319885922
108	0.4318319611
109	0.4316807846
110	0.4316068979
111	0.4315534796
112	0.431471642
113	0.4313495421
114	0.4312786561
115	0.431241285
116	0.4311784672
117	0.4311319078
118	0.4310694582
119	0.4309587396
120	0.430918239
121	0.4308780195
122	0.4308424376
123	0.4307809152
124	0.4307372653
125	0.4306703215
126	0.4306385701
127	0.430561631
128	0.4305213064
129	0.4304464343
130	0.4303801536
131	0.4303174708
132	0.4302870212
133	0.4302504006
134	0.4301623142
135	0.4301136517
136	0.4300689632
137	0.430013374
138	0.4299550688
139	0.429924793
140	0.4298715849
141	0.429758216
142	0.4297421928
143	0.4296939615
144	0.4296766471
145	0.429608836
146	0.4295485591
147	0.4295073113
148	0.4294746273
149	0.4294555708
150	0.4294196871
151	0.4293670592
152	0.4293030315
153	0.4292737603
154	0.4291953055
155	0.4291454832
156	0.4289746041
157	0.4289456765
158	0.4288689839
159	0.4288109964
160	0.428679074
161	0.4286017772
162	0.4285639723
163	0.4285335132
164	0.4284347304
165	0.428397473
166	0.4283675234
167	0.4283439044
168	0.4282931006
169	0.4282263151
170	0.4282091565
171	0.4281549482
172	0.4281226833
173	0.4280702977
174	0.427985413
175	0.427901505
176	0.4278393558
177	0.4277772616
178	0.4277143204
179	0.4276548978
180	0.4276239181
181	0.4275238979
182	0.4274867896
183	0.4274115417
184	0.427381391
185	0.4273634428
186	0.4273346308
187	0.4272824241
188	0.4272618923
189	0.4271829449
190	0.4271677454
191	0.4271118585
192	0.427078342
193	0.4270095043
194	0.4269843656
195	0.4269307749
196	0.426845054
197	0.4268266182
198	0.4267724108
199	0.4267122616
200	0.4266861684
201	0.4266383315
202	0.4265926383
203	0.4265611041
204	0.4264276452
205	0.4263485062
206	0.4263162521
207	0.426287696
208	0.4262774758
209	0.4262319309
210	0.4262186282
211	0.4261685078
212	0.4261223968
213	0.4260547727
214	0.4260303153
215	0.4260101627
216	0.425939771
217	0.4259064296
218	0.4258492893
219	0.4258376106
220	0.4258028545
221	0.4257712856
222	0.4257156107
223	0.4257045441
224	0.4256520025
225	0.4256196801
226	0.4256043222
227	0.4255612017
228	0.4255086041
229	0.4254574668
230	0.4254164671
231	0.425406367
232	0.425347818
233	0.4252410103
234	0.4252088418
235	0.4251699134
236	0.4251097997
237	0.4250745551
238	0.4250286643
239	0.4249963038
240	0.4249068699
241	0.4248637736
242	0.4248496792
243	0.4247866039
244	0.4247611547
245	0.4246685623
246	0.4246459567
247	0.4245961557
248	0.4245519449
249	0.4245112548
250	0.4245020418
251	0.424453088
252	0.4244401013
253	0.4243777524
254	0.4243433064
255	0.424270716
256	0.4242016744
257	0.4241932295
258	0.4241561012
259	0.4241067428
260	0.4240812588
261	0.4240321286
262	0.4240063735
263	0.4239688385
264	0.4239617649
265	0.423934732
266	0.4239296129
267	0.4239049263
268	0.4238469362
269	0.423808183
270	0.4237427807
271	0.4236899163
272	0.4236681765
273	0.423632499
274	0.423611105
275	0.4235775453
276	0.4235357339
277	0.4234837645
278	0.4234369173
279	0.4233864088
280	0.4233424063
281	0.4233047872
282	0.4232696442
283	0.42325736
284	0.4232412378
285	0.4232225074
286	0.423187788
287	0.4230811221
288	0.4230486124
289	0.42302113
290	0.4229761555
291	0.4229426616
292	0.4229069812
293	0.4228789665
294	0.4228358923
295	0.4228092026
296	0.4227696413
297	0.4227261935
298	0.4226936964
299	0.4226624997
300	0.4226300111
301	0.4225873101
302	0.4225737936
303	0.4225576641
304	0.4225431561
305	0.4225048845
306	0.4224696193
307	0.422433615
308	0.4224179807
309	0.4223924045
310	0.4223581239
311	0.4223172356
312	0.4222816603
313	0.4222502829
314	0.4222051316
315	0.4221730408
316	0.4221130061
317	0.4220877792
318	0.4220486329
319	0.4220323564
320	0.422014341
321	0.4219930169
322	0.4219704992
323	0.4219462752
324	0.4219418848
325	0.4218967486
326	0.4218659853
327	0.4218323144
328	0.4217880898
329	0.4217580069
330	0.4217321712
331	0.4217113508
332	0.4216906327
333	0.4216812304
334	0.4216632906
335	0.4216254283
336	0.421598324
337	0.4215793738
338	0.4215530688
339	0.4215310558
340	0.4214937428
341	0.4214691858
342	0.4214472436
343	0.4214301049
344	0.421423266
345	0.4213866404
346	0.4213575742
347	0.4213522812
348	0.421328421
349	0.4212949029
350	0.4212863283
351	0.4212710347
352	0.4212480546
353	0.4212151953
354	0.4212121738
355	0.4211642635
356	0.4211424983
357	0.4211129369
358	0.4210969906
359	0.4210762092
360	0.4210454456
361	0.4210407515
362	0.4210125378
363	0.4209776897
364	0.4209457998
365	0.4209139002
366	0.4208916049
367	0.4208702545
368	0.4208548198
369	0.4208249381
370	0.4208037565
371	0.4207957393
372	0.4207505049
373	0.4206445489
374	0.4206096892
375	0.4205776643
376	0.4205472266
377	0.4205421536
378	0.420522749
379	0.4205058181
380	0.4204683367
381	0.4204362711
382	0.4204180621
383	0.420382801
384	0.4203698534
385	0.4203650671
386	0.4203638847
387	0.4203315385
388	0.4202826072
389	0.4202759522
390	0.4202313342
391	0.4201945591
392	0.4201713581
393	0.4200747775
394	0.4200736988
395	0.4200361902
396	0.420002078
397	0.4199682251
398	0.4199457588
399	0.4198973302
400	0.4198820036
401	0.4198616634
402	0.4198526837
403	0.419838658
404	0.4198249834
405	0.4198020287
406	0.4197928039
407	0.4197702165
408	0.4197464217
409	0.4197135758
410	0.4196972808
411	0.419682868
412	0.4196435845
413	0.4196261357
414	0.4196008216
415	0.4195913171
416	0.4195761715
417	0.4195224552
418	0.4195066046
419	0.4194677512
420	0.4194324582
421	0.4194050287
422	0.4193702829
423	0.4193692986
424	0.4193445939
425	0.419319941
426	0.4193166116
427	0.4193132669
428	0.4193057856
429	0.4192825082
430	0.4192391271
431	0.4192229369
432	0.4192050179
433	0.4191587371
434	0.4191324988
435	0.4190734302
436	0.4190608338
437	0.4190456064
438	0.4190063182
439	0.4189809509
440	0.4189668245
441	0.4189339147
442	0.4188870867
443	0.418848425
444	0.418832849
445	0.418803266
446	0.4187971321
447	0.4187807273
448	0.4187510534
449	0.4187187227
450	0.4186927471
451	0.4186870533
452	0.418672536
453	0.41865534
454	0.4186474787
455	0.4186205233
456	0.4186134845
457	0.4185893727
458	0.4185529266
459	0.4185258289
460	0.4185132936
461	0.4185072722
462	0.418478354
463	0.4184576554
464	0.4184165004
465	0.4183722523
466	0.4183676657
467	0.4183419449
468	0.4183399547
469	0.4183235284
470	0.4183124195
471	0.4182788108
472	0.4182394831
473	0.4182350424
474	0.4181885004
475	0.4181676158
476	0.41816517
477	0.418152851
478	0.4180990915
479	0.4180605281
480	0.4180271043
481	0.4180021575
482	0.4179587262
483	0.4179482205
484	0.4179360222
485	0.4179086078
486	0.4178747111
487	0.4178599339
488	0.4178341253
489	0.4178060013
490	0.4177782856
491	0.4177436587
492	0.417732698
493	0.4177222049
494	0.4176979712
495	0.4176734264
496	0.4176685116
497	0.4176287556
498	0.4175794452
499	0.4175695357
500	0.417543468
501	0.4175286893
502	0.4175073196
503	0.4174861232
504	0.417463885
505	0.4174608592
506	0.4174393392
507	0.4174097179
508	0.4173797889
509	0.4173471325
510	0.4173205177
511	0.4172906381
512	0.4172777735
513	0.4172420304
514	0.4172235725
515	0.417217413
516	0.4172044267
517	0.4171724626
518	0.417146072
519	0.4171249004
520	0.417100494
521	0.4170941845
522	0.4170694194
523	0.4170491719
524	0.4170202484
525	0.4169876772
526	0.4169416932
527	0.4169059939
528	0.4168727392
529	0.4168712768
530	0.4168631762
531	0.4168371
532	0.4168176421
533	0.4167872118
534	0.4167737078
535	0.4167389288
536	0.4166993274
537	0.416695823
538	0.4166692305
539	0.4166642292
540	0.4166409891
541	0.4166155772
542	0.4165870188
543	0.4165523295
544	0.4165320724
545	0.4165000601
546	0.4164826629
547	0.416468439
548	0.4164356952
549	0.4164159923
550	0.4164024894
551	0.4163653262
552	0.4163349604
553	0.4163021262
554	0.4162805392
555	0.4162565345
556	0.4162368354
557	0.4162156707
558	0.4161982651
559	0.416185744
560	0.4161562703
561	0.4161388298
562	0.4161214182
563	0.4161098774
564	0.4160858935
565	0.4160796773
566	0.416069025
567	0.4160536388
568	0.4160488893
569	0.4160165456
570	0.4159791434
571	0.4159606416
572	0.4159234455
573	0.4158770262
574	0.4158661803
575	0.4158493453
576	0.4158114315
577	0.4157750416
578	0.4157625046
579	0.415730808
580	0.4157242572
581	0.4157145568
582	0.4156800383
583	0.4156764947
584	0.4156189313
585	0.415597843
586	0.4155843132
587	0.415540453
588	0.4155307125
589	0.41550763
590	0.4154957147
591	0.4154884792
592	0.415465414
593	0.4154424951
594	0.4154300621
595	0.4154071232
596	0.4153829662
597	0.415360237
598	0.4153451935
599	0.4153116293
600	0.4152994599
601	0.4152692093
602	0.4152442024
603	0.415223194
604	0.4152157228
605	0.415211198
606	0.4151857829
607	0.4151736169
608	0.4151678837
609	0.4151152587
610	0.4150997225
611	0.4150659765
612	0.4150438266
613	0.4150243986
614	0.4150100438
615	0.4150087151
616	0.4149913073
617	0.4149618682
618	0.4149444209
619	0.4149261754
620	0.4149041625
621	0.4148921084
622	0.4148653893
623	0.4148399759
624	0.4148070796
625	0.4147927396
626	0.4147567774
627	0.4147481931
628	0.4147338528
629	0.4147005135
630	0.4146720679
631	0.4146484347
632	0.4146234501
633	0.414586696
634	0.4145701518
635	0.4145420919
636	0.4145250758
637	0.4145144103
638	0.4144959638
639	0.4144829516
640	0.4144743961
641	0.4144711098
642	0.4144518548
643	0.4144509875
644	0.4144372938
645	0.4144105739
646	0.4143967045
647	0.4143679734
648	0.4143532661
649	0.4143188469
650	0.4143157319
651	0.4142994737
652	0.4142781875
653	0.414239787
654	0.4142184011
655	0.4142151697
656	0.4142051046
657	0.414187729
658	0.4141734428
659	0.4141667416
660	0.4141478519
661	0.4141334776
662	0.4141095504
663	0.4140873479
664	0.4140745273
665	0.414065124
666	0.4140256668
667	0.4140132525
668	0.4140027471
669	0.4139827532
670	0.4139773012
671	0.4139757337
672	0.4139593249
673	0.4139296478
674	0.413911597
675	0.4138770872
676	0.413863637
677	0.4138331419
678	0.4138227504
679	0.4137693412
680	0.4137632182
681	0.4137492234
682	0.4137344957
683	0.4137159662
684	0.4137106881
685	0.413691146
686	0.4136809076
687	0.4136542208
